time,temperature_2m,relative_humidity_2m,rain,cloudcover,windspeed_10m
2023-06-01T00:00,26.6,90,0.1,99,2.6
2023-06-01T01:00,26.0,96,0.0,100,0.7
2023-06-01T02:00,25.6,99,0.0,100,4.2
2023-06-01T03:00,25.6,98,0.0,100,6.5
2023-06-01T04:00,24.3,99,5.6,100,8.7
2023-06-01T05:00,24.4,94,1.5,100,5.9
2023-06-01T06:00,24.8,92,0.0,100,6.6
2023-06-01T07:00,25.3,91,0.1,100,6.4
2023-06-01T08:00,26.1,89,0.0,100,6.5
2023-06-01T09:00,26.9,84,0.0,100,6.4
2023-06-01T10:00,28.0,80,0.1,100,8.2
2023-06-01T11:00,29.1,77,0.2,97,8.0
2023-06-01T12:00,31.5,66,0.1,100,10.2
2023-06-01T13:00,25.2,93,8.3,100,7.6
2023-06-01T14:00,26.4,87,0.5,100,6.4
2023-06-01T15:00,27.3,85,0.3,100,6.1
2023-06-01T16:00,26.3,90,0.6,100,5.4
2023-06-01T17:00,28.0,79,0.3,100,5.6
2023-06-01T18:00,27.5,84,0.0,100,5.4
2023-06-01T19:00,26.9,88,0.1,100,4.6
2023-06-01T20:00,26.4,92,0.0,100,4.4
2023-06-01T21:00,26.5,93,0.0,100,2.3
2023-06-01T22:00,26.4,91,0.1,100,2.9
2023-06-01T23:00,26.4,91,0.0,100,2.4
2023-06-02T00:00,26.1,93,0.1,100,2.1
2023-06-02T01:00,25.9,94,0.1,67,2.4
2023-06-02T02:00,25.2,98,0.1,100,4.1
2023-06-02T03:00,25.5,95,0.0,100,2.1
2023-06-02T04:00,25.5,95,0.0,100,2.9
2023-06-02T05:00,25.5,98,0.0,100,2.3
2023-06-02T06:00,25.8,96,0.0,100,4.2
2023-06-02T07:00,26.9,92,0.0,100,3.1
2023-06-02T08:00,28.1,84,0.0,100,4.7
2023-06-02T09:00,29.3,78,0.1,100,6.0
2023-06-02T10:00,30.5,72,0.2,100,8.6
2023-06-02T11:00,31.1,72,0.1,99,10.7
2023-06-02T12:00,31.8,70,0.2,98,11.1
2023-06-02T13:00,28.7,79,3.1,100,14.1
2023-06-02T14:00,29.4,78,0.0,100,9.5
2023-06-02T15:00,30.2,76,0.2,100,11.4
2023-06-02T16:00,30.4,74,0.2,100,10.5
2023-06-02T17:00,29.6,76,0.4,100,8.6
2023-06-02T18:00,28.1,85,0.1,100,9.2
2023-06-02T19:00,27.6,87,0.0,100,8.6
2023-06-02T20:00,27.4,89,0.0,100,6.8
2023-06-02T21:00,26.6,90,1.8,100,6.1
2023-06-02T22:00,26.5,92,0.3,99,4.2
2023-06-02T23:00,26.3,93,0.1,100,3.2
2023-06-03T00:00,26.3,93,0.1,100,4.0
2023-06-03T01:00,24.8,97,7.6,99,9.5
2023-06-03T02:00,24.4,98,5.4,100,4.7
2023-06-03T03:00,24.1,97,1.2,100,6.1
2023-06-03T04:00,24.3,96,0.3,100,1.5
2023-06-03T05:00,24.3,97,2.7,97,2.6
2023-06-03T06:00,24.9,96,0.0,100,3.8
2023-06-03T07:00,25.9,93,0.0,90,1.5
2023-06-03T08:00,27.5,83,0.0,100,2.8
2023-06-03T09:00,28.8,79,0.1,100,4.0
2023-06-03T10:00,29.7,76,0.1,100,6.5
2023-06-03T11:00,30.6,73,0.0,55,8.7
2023-06-03T12:00,31.5,69,0.3,88,10.4
2023-06-03T13:00,31.5,68,0.8,88,10.4
2023-06-03T14:00,30.7,74,1.1,96,10.1
2023-06-03T15:00,30.3,73,3.0,93,11.9
2023-06-03T16:00,28.0,82,5.7,100,7.8
2023-06-03T17:00,28.6,81,0.1,90,8.7
2023-06-03T18:00,28.0,86,0.0,100,4.2
2023-06-03T19:00,27.2,88,0.5,98,4.7
2023-06-03T20:00,25.6,91,7.5,100,7.8
2023-06-03T21:00,25.2,93,0.8,91,5.2
2023-06-03T22:00,24.4,97,4.7,100,6.6
2023-06-03T23:00,24.6,94,1.6,100,4.5
2023-06-04T00:00,24.4,96,5.0,100,4.8
2023-06-04T01:00,24.1,97,5.1,100,4.8
2023-06-04T02:00,23.7,97,6.3,100,12.7
2023-06-04T03:00,23.7,96,0.2,100,7.3
2023-06-04T04:00,24.0,95,0.1,100,2.3
2023-06-04T05:00,24.8,97,0.3,100,7.8
2023-06-04T06:00,25.2,94,0.0,100,8.7
2023-06-04T07:00,25.6,94,0.1,100,4.6
2023-06-04T08:00,26.4,90,0.2,100,6.4
2023-06-04T09:00,28.1,82,0.1,100,10.7
2023-06-04T10:00,29.4,76,0.2,100,11.9
2023-06-04T11:00,30.8,69,0.0,100,11.1
2023-06-04T12:00,31.7,67,0.1,100,12.1
2023-06-04T13:00,32.4,65,0.0,100,10.8
2023-06-04T14:00,32.3,64,0.0,100,12.4
2023-06-04T15:00,31.3,66,1.0,100,14.1
2023-06-04T16:00,30.6,71,0.2,77,14.0
2023-06-04T17:00,30.7,69,0.0,51,13.5
2023-06-04T18:00,28.9,76,0.0,95,10.6
2023-06-04T19:00,27.8,81,0.0,99,9.4
2023-06-04T20:00,27.1,85,0.0,98,7.7
2023-06-04T21:00,26.6,88,0.0,100,5.1
2023-06-04T22:00,26.8,88,0.0,100,4.1
2023-06-04T23:00,26.4,90,0.0,100,3.3
2023-06-05T00:00,26.4,88,0.0,100,2.2
2023-06-05T01:00,26.0,93,0.0,100,2.2
2023-06-05T02:00,25.7,94,0.1,100,1.6
2023-06-05T03:00,25.3,96,0.1,100,3.3
2023-06-05T04:00,25.4,93,0.6,98,6.8
2023-06-05T05:00,25.3,93,0.5,100,10.1
2023-06-05T06:00,24.9,93,0.1,96,5.1
2023-06-05T07:00,25.5,92,0.0,100,1.3
2023-06-05T08:00,27.0,85,0.0,100,2.3
2023-06-05T09:00,28.7,78,0.0,100,7.4
2023-06-05T10:00,30.1,71,0.1,95,9.4
2023-06-05T11:00,31.3,65,0.1,36,10.4
2023-06-05T12:00,31.8,65,0.0,62,13.4
2023-06-05T13:00,32.3,64,0.0,28,13.0
2023-06-05T14:00,32.4,62,0.0,34,14.0
2023-06-05T15:00,31.3,64,0.2,74,15.1
2023-06-05T16:00,29.7,72,0.5,65,11.9
2023-06-05T17:00,30.6,67,0.2,65,13.4
2023-06-05T18:00,29.3,73,0.0,27,9.3
2023-06-05T19:00,28.3,77,0.0,30,9.2
2023-06-05T20:00,27.8,81,0.0,43,8.9
2023-06-05T21:00,26.9,86,0.1,66,9.4
2023-06-05T22:00,26.4,89,0.3,79,7.7
2023-06-05T23:00,25.8,91,0.3,100,11.2
2023-06-06T00:00,26.0,90,0.0,100,11.2
2023-06-06T01:00,25.5,93,0.0,100,5.3
2023-06-06T02:00,25.2,95,0.0,100,4.4
2023-06-06T03:00,24.6,98,0.0,100,2.6
2023-06-06T04:00,24.4,98,0.0,100,3.1
2023-06-06T05:00,24.6,96,0.0,57,3.5
2023-06-06T06:00,25.4,93,0.0,100,4.7
2023-06-06T07:00,26.5,88,0.0,100,4.8
2023-06-06T08:00,28.4,79,0.0,69,7.2
2023-06-06T09:00,30.1,71,0.0,100,10.0
2023-06-06T10:00,31.2,64,0.1,100,13.4
2023-06-06T11:00,31.5,63,0.3,100,13.8
2023-06-06T12:00,30.7,73,1.5,95,14.8
2023-06-06T13:00,31.6,69,0.1,75,15.1
2023-06-06T14:00,32.1,63,0.0,100,16.4
2023-06-06T15:00,31.1,63,0.3,100,14.9
2023-06-06T16:00,30.1,68,0.0,100,14.6
2023-06-06T17:00,30.7,69,0.1,99,13.4
2023-06-06T18:00,28.6,78,1.0,100,8.3
2023-06-06T19:00,27.6,85,0.3,100,6.1
2023-06-06T20:00,27.6,85,0.0,99,8.7
2023-06-06T21:00,27.2,87,0.0,92,7.6
2023-06-06T22:00,26.7,90,0.0,32,6.0
2023-06-06T23:00,26.5,91,0.0,16,7.1
2023-06-07T00:00,26.2,93,0.0,18,6.4
2023-06-07T01:00,25.9,94,0.1,43,6.6
2023-06-07T02:00,25.1,96,0.9,100,12.7
2023-06-07T03:00,25.0,94,0.1,62,8.6
2023-06-07T04:00,24.1,98,1.4,100,10.1
2023-06-07T05:00,22.8,95,1.4,100,3.6
2023-06-07T06:00,23.2,96,0.0,100,6.7
2023-06-07T07:00,24.3,93,0.1,90,5.4
2023-06-07T08:00,25.7,87,0.1,79,4.0
2023-06-07T09:00,27.4,81,0.1,100,6.6
2023-06-07T10:00,28.4,77,0.1,100,7.3
2023-06-07T11:00,29.5,74,0.1,37,8.4
2023-06-07T12:00,30.6,71,0.2,100,13.4
2023-06-07T13:00,27.7,84,1.8,100,11.5
2023-06-07T14:00,29.6,77,0.1,97,14.8
2023-06-07T15:00,29.2,77,0.5,63,13.8
2023-06-07T16:00,27.8,82,0.4,95,12.0
2023-06-07T17:00,27.7,81,0.8,100,9.2
2023-06-07T18:00,24.7,91,1.8,100,12.0
2023-06-07T19:00,24.3,94,0.1,100,9.6
2023-06-07T20:00,24.4,94,0.0,100,6.4
2023-06-07T21:00,24.3,96,0.0,87,3.4
2023-06-07T22:00,24.0,96,0.0,92,2.5
2023-06-07T23:00,23.9,96,0.0,97,2.7
2023-06-08T00:00,23.9,96,0.0,96,3.3
2023-06-08T01:00,23.9,96,0.0,87,3.4
2023-06-08T02:00,23.5,97,0.0,100,4.2
2023-06-08T03:00,24.1,95,0.1,99,2.3
2023-06-08T04:00,24.4,94,0.0,41,2.5
2023-06-08T05:00,24.0,95,0.0,10,5.2
2023-06-08T06:00,24.4,94,0.0,100,5.2
2023-06-08T07:00,25.7,90,0.0,100,6.8
2023-06-08T08:00,27.3,86,0.0,100,5.3
2023-06-08T09:00,28.7,79,0.1,95,6.3
2023-06-08T10:00,29.5,78,0.1,82,9.6
2023-06-08T11:00,30.6,74,0.2,99,12.0
2023-06-08T12:00,30.0,72,0.6,99,15.8
2023-06-08T13:00,30.0,74,0.4,100,13.7
2023-06-08T14:00,30.3,75,0.1,100,14.9
2023-06-08T15:00,29.1,75,1.0,97,15.4
2023-06-08T16:00,27.7,81,0.8,98,15.0
2023-06-08T17:00,26.8,86,0.4,99,11.9
2023-06-08T18:00,25.7,91,0.7,100,6.1
2023-06-08T19:00,25.1,94,0.4,100,4.2
2023-06-08T20:00,25.1,94,0.1,100,4.9
2023-06-08T21:00,24.9,95,0.0,99,1.8
2023-06-08T22:00,24.2,97,0.0,93,3.4
2023-06-08T23:00,24.2,98,0.0,100,3.1
2023-06-09T00:00,23.9,98,0.0,96,4.0
2023-06-09T01:00,24.0,98,0.0,100,3.6
2023-06-09T02:00,24.0,98,0.1,100,3.3
2023-06-09T03:00,23.8,99,0.0,100,5.1
2023-06-09T04:00,24.2,98,0.0,100,7.3
2023-06-09T05:00,24.3,97,0.1,100,7.8
2023-06-09T06:00,23.8,99,2.8,100,3.2
2023-06-09T07:00,24.4,94,0.0,100,6.4
2023-06-09T08:00,26.2,88,0.0,100,8.2
2023-06-09T09:00,27.4,85,0.1,100,13.5
2023-06-09T10:00,28.5,80,0.1,100,7.1
2023-06-09T11:00,29.1,79,0.3,100,13.4
2023-06-09T12:00,29.7,74,0.1,100,15.7
2023-06-09T13:00,30.4,71,0.1,100,15.1
2023-06-09T14:00,29.6,74,0.7,100,14.8
2023-06-09T15:00,29.4,73,1.3,100,18.3
2023-06-09T16:00,27.3,85,0.3,100,14.5
2023-06-09T17:00,26.8,86,0.1,100,11.3
2023-06-09T18:00,24.8,92,0.1,99,7.3
2023-06-09T19:00,24.3,96,0.0,100,4.1
2023-06-09T20:00,24.2,97,0.0,100,4.1
2023-06-09T21:00,24.3,96,0.0,100,5.6
2023-06-09T22:00,24.1,96,0.0,100,5.6
2023-06-09T23:00,24.0,96,0.0,100,7.6
2023-06-10T00:00,23.7,98,0.1,100,6.5
2023-06-10T01:00,23.4,98,0.0,100,5.1
2023-06-10T02:00,23.3,97,0.0,100,8.7
2023-06-10T03:00,23.2,97,0.0,100,9.0
2023-06-10T04:00,23.3,97,0.1,100,4.5
2023-06-10T05:00,24.5,96,0.1,100,11.2
2023-06-10T06:00,24.8,94,0.0,100,9.1
2023-06-10T07:00,25.6,92,0.0,100,11.2
2023-06-10T08:00,26.1,89,1.3,100,11.2
2023-06-10T09:00,27.0,85,0.0,100,4.3
2023-06-10T10:00,28.9,78,0.1,100,11.1
2023-06-10T11:00,27.3,83,1.8,100,9.0
2023-06-10T12:00,26.6,85,0.2,100,9.8
2023-06-10T13:00,28.1,80,0.4,100,7.6
2023-06-10T14:00,28.4,79,0.1,100,8.8
2023-06-10T15:00,28.1,79,0.0,100,8.6
2023-06-10T16:00,27.9,80,0.1,100,8.6
2023-06-10T17:00,26.5,85,0.1,100,7.5
2023-06-10T18:00,25.9,89,0.0,100,5.6
2023-06-10T19:00,25.4,92,0.0,100,4.0
2023-06-10T20:00,25.0,95,0.0,100,2.5
2023-06-10T21:00,25.2,92,0.0,100,3.3
2023-06-10T22:00,24.6,95,0.0,100,3.1
2023-06-10T23:00,24.8,94,0.0,100,4.5
2023-06-11T00:00,24.8,94,0.0,99,4.9
2023-06-11T01:00,24.3,96,0.0,100,6.1
2023-06-11T02:00,24.4,96,0.0,100,8.4
2023-06-11T03:00,23.8,99,1.7,100,9.6
2023-06-11T04:00,23.8,97,2.0,100,6.8
2023-06-11T05:00,24.5,96,0.3,94,6.9
2023-06-11T06:00,24.8,96,0.6,51,4.2
2023-06-11T07:00,25.6,93,0.0,99,2.8
2023-06-11T08:00,27.0,87,0.0,84,2.9
2023-06-11T09:00,28.6,82,0.0,61,5.6
2023-06-11T10:00,28.6,77,2.6,100,14.9
2023-06-11T11:00,25.5,91,2.4,100,8.3
2023-06-11T12:00,26.9,84,0.0,97,7.7
2023-06-11T13:00,29.6,75,0.2,66,7.2
2023-06-11T14:00,30.6,72,0.1,48,9.7
2023-06-11T15:00,31.1,69,0.0,96,10.8
2023-06-11T16:00,28.1,79,1.4,91,10.8
2023-06-11T17:00,28.6,76,0.7,100,9.1
2023-06-11T18:00,27.5,84,0.0,82,5.8
2023-06-11T19:00,26.6,90,0.0,70,6.4
2023-06-11T20:00,26.2,93,0.0,96,8.2
2023-06-11T21:00,25.7,95,0.0,88,10.8
2023-06-11T22:00,25.3,94,0.1,100,7.8
2023-06-11T23:00,25.1,94,0.0,94,6.3
2023-06-12T00:00,24.4,98,0.0,91,3.1
2023-06-12T01:00,24.3,98,0.0,76,3.4
2023-06-12T02:00,24.1,98,0.0,21,3.4
2023-06-12T03:00,24.2,98,0.0,100,5.9
2023-06-12T04:00,24.4,98,0.1,100,5.8
2023-06-12T05:00,23.6,98,0.3,100,6.6
2023-06-12T06:00,23.9,96,0.4,100,5.5
2023-06-12T07:00,24.1,96,13.1,100,7.8
2023-06-12T08:00,24.2,95,3.0,100,2.9
2023-06-12T09:00,24.4,94,2.0,100,1.5
2023-06-12T10:00,26.5,85,1.0,100,4.5
2023-06-12T11:00,27.4,82,0.3,100,7.2
2023-06-12T12:00,28.5,77,0.1,100,10.1
2023-06-12T13:00,29.1,74,0.2,100,12.8
