date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_100m,wind_gusts_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,boundary_layer_height,wet_bulb_temperature_2m,total_column_integrated_water_vapour,is_day,sunshine_duration,albedo,snow_depth_water_equivalent
2023-12-31 18:30:00+00:00,17.483,90.62775,15.933,17.454844,0.0,0.0,0.0,0.0,0.0,1016.1,912.7413,9.0,1.0,2.0,6.0,0.0015556292,0.18732202,3.9319208,7.5504966,101.458725,6.4,97.30567,21.483,24.583,24.233,0.277,0.306,0.33,0.39,210.0,16.364618,17.3,0.0,0.0,,
2023-12-31 19:30:00+00:00,16.782999,96.87123,16.282999,16.860666,0.0,0.0,0.0,0.0,1.0,1015.8,912.23785,42.0,39.0,5.0,0.0,0.0,0.059826374,4.00125,7.3437047,96.253944,6.6,91.43207,20.932999,24.383,24.233,0.277,0.306,0.33,0.39,200.0,16.403248,17.9,0.0,0.0,,
2023-12-31 20:30:00+00:00,16.483,99.36576,16.383,16.60185,0.0,0.0,0.0,0.0,3.0,1015.4,911.778,100.0,100.0,1.0,0.0,0.0,0.011898398,4.00125,7.2111025,93.17977,6.6,88.56794,20.532999,24.233,24.233,0.277,0.306,0.33,0.39,190.0,16.394156,18.3,0.0,0.0,,
2023-12-31 21:30:00+00:00,16.733,98.737495,16.532999,16.80943,0.0,0.0,0.0,0.0,3.0,1015.1,911.5926,100.0,100.0,0.0,41.0,0.0,0.024063468,4.2,6.6068144,92.60251,7.8,90.0,20.432999,24.032999,24.233,0.277,0.306,0.33,0.39,190.0,16.571882,19.0,0.0,0.0,,
2023-12-31 22:30:00+00:00,17.083,95.34985,16.333,17.175798,0.0,0.0,0.0,0.0,3.0,1015.4,911.97894,100.0,99.0,0.0,93.0,0.0,0.09062135,4.0112343,5.9413805,96.76608,7.3,94.28908,20.333,23.883,24.233,0.277,0.306,0.33,0.39,185.0,16.524303,19.2,0.0,0.0,,
2023-12-31 23:30:00+00:00,17.133,92.95101,15.983001,17.437088,0.0,0.0,0.0,0.0,3.0,1015.9,912.4447,100.0,100.0,1.0,97.0,0.0,0.13780844,3.3376637,5.2773094,99.81924,6.9,98.61557,20.182999,23.733,24.233,0.277,0.306,0.33,0.39,,16.292042,,0.0,0.0,,
2024-01-01 00:30:00+00:00,16.733,93.82652,15.733001,17.2711,0.0,0.0,0.0,0.0,3.0,1016.8,913.11926,89.0,5.0,0.0,88.0,0.0,0.11767614,2.7018514,5.315073,94.31595,5.8,92.12105,20.633,23.633,24.233,0.277,0.306,0.331,0.39,,15.997438,,0.0,0.0,,
2024-01-01 01:30:00+00:00,17.233,89.17109,15.433001,17.169628,0.0,0.0,0.0,0.0,3.0,1017.6,914.00507,93.0,1.0,0.0,92.0,0.028228804,0.21305609,3.622154,5.557877,98.27581,5.9,96.340096,20.333,23.483,24.233,0.277,0.306,0.331,0.39,,15.946936,,1.0,1026.3782,,
2024-01-01 02:30:00+00:00,19.432999,75.46778,14.983001,19.097626,0.0,0.0,0.0,0.0,3.0,1017.9,915.0057,93.0,0.0,0.0,93.0,0.14216125,0.55397797,3.8078866,5.0447993,103.76081,7.4,103.671326,21.083,23.333,24.233,0.277,0.306,0.331,0.39,,16.427534,,1.0,3600.0,,
2024-01-01 03:30:00+00:00,21.733,64.65463,14.783,21.515545,0.0,0.0,0.0,0.0,2.0,1018.1,915.9387,61.0,0.0,0.0,61.0,0.29343867,0.9195416,3.436568,4.3566046,99.24603,7.6,98.3658,22.633,23.282999,24.233,0.277,0.306,0.331,0.39,,17.189665,,1.0,3600.0,,
